                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.9946,                 1.2689,                 1.2793,                0.70936,                0.71825,                0.77641,                0.43621,                 1.6764,                 1.0025,                   1.27,             0.00076325,             0.00076325,             0.00076325
                    120,                 1.9835,                  1.285,                 1.2771,                0.67034,                0.75532,                0.77029,                0.44124,                 1.6667,                0.99764,                 1.2693,             0.00075912,             0.00075912,             0.00075912
                    121,                 1.9922,                 1.2722,                 1.2787,                0.71888,                0.71734,                0.76822,                0.44682,                 1.6572,                0.99691,                 1.2633,               0.000755,               0.000755,               0.000755
                    122,                 1.9692,                 1.2591,                 1.2718,                0.76112,                0.68444,                0.77517,                0.44897,                 1.6728,                 1.0043,                  1.276,             0.00075088,             0.00075088,             0.00075088
                    123,                 1.9812,                 1.2792,                 1.2741,                0.71777,                0.70706,                0.77162,                0.44806,                 1.6926,                0.99192,                 1.2728,             0.00074675,             0.00074675,             0.00074675
                    124,                 1.9718,                 1.2674,                 1.2725,                 0.6701,                0.72098,                0.75194,                0.43714,                 1.6692,                 1.0105,                 1.2665,             0.00074263,             0.00074263,             0.00074263
                    125,                 1.9648,                 1.2677,                 1.2741,                0.69427,                0.73281,                0.76369,                0.44269,                 1.6566,                0.99206,                 1.2667,              0.0007385,              0.0007385,              0.0007385
                    126,                 1.9688,                 1.2487,                 1.2699,                0.71449,                0.72724,                0.76991,                0.44137,                 1.6958,                0.99153,                  1.271,             0.00073437,             0.00073437,             0.00073437
                    127,                 1.9659,                 1.2679,                 1.2731,                0.72894,                0.72274,                0.77062,                0.44592,                 1.6691,                  1.002,                 1.2745,             0.00073025,             0.00073025,             0.00073025
                    128,                 1.9746,                 1.2447,                 1.2728,                0.70099,                0.73092,                0.76751,                0.44595,                 1.6832,                0.97659,                 1.2792,             0.00072612,             0.00072612,             0.00072612
                    129,                  1.946,                 1.2404,                 1.2673,                0.72478,                 0.7004,                0.77936,                0.44415,                 1.6898,                0.98341,                 1.2731,               0.000722,               0.000722,               0.000722
                    130,                 1.9644,                  1.262,                  1.273,                0.70833,                0.75446,                0.77615,                0.44306,                 1.6857,                0.97851,                 1.2775,             0.00071788,             0.00071788,             0.00071788
                    131,                 1.9685,                 1.2553,                 1.2748,                0.73836,                0.72139,                0.78944,                0.45223,                  1.686,                0.98499,                 1.2753,             0.00071375,             0.00071375,             0.00071375
                    132,                 1.9111,                 1.2356,                 1.2639,                 0.7308,                0.71592,                0.78492,                0.45484,                 1.6747,                0.97504,                 1.2683,             0.00070962,             0.00070962,             0.00070962
                    133,                 1.9361,                 1.2348,                 1.2674,                0.70728,                0.74186,                0.77909,                0.44819,                 1.6818,                0.98552,                  1.276,              0.0007055,              0.0007055,              0.0007055
                    134,                 1.9737,                 1.2523,                 1.2727,                0.73884,                0.72547,                0.78207,                0.45143,                 1.6935,                0.97799,                 1.2739,             0.00070137,             0.00070137,             0.00070137
                    135,                  1.949,                 1.2349,                 1.2677,                0.72432,                0.72659,                0.77975,                0.45198,                 1.6726,                0.98134,                 1.2688,             0.00069725,             0.00069725,             0.00069725
                    136,                 1.9315,                 1.2415,                  1.266,                0.71085,                0.73129,                0.77888,                0.45078,                 1.6944,                0.96462,                 1.2778,             0.00069313,             0.00069313,             0.00069313
                    137,                 1.9437,                 1.2434,                  1.268,                0.70757,                0.76234,                0.78634,                  0.453,                 1.6453,                0.97126,                 1.2732,               0.000689,               0.000689,               0.000689
                    138,                 1.9148,                 1.2322,                  1.264,                0.71319,                0.75583,                0.77418,                0.45191,                  1.672,                0.96825,                 1.2767,             0.00068488,             0.00068488,             0.00068488
                    139,                 1.9601,                 1.2386,                 1.2665,                0.70135,                0.75831,                0.78117,                0.45005,                 1.7097,                0.97241,                 1.2802,             0.00068075,             0.00068075,             0.00068075
                    140,                 1.9477,                 1.2316,                 1.2653,                0.71505,                0.73217,                0.78055,                0.44771,                 1.7243,                0.97075,                 1.2818,             0.00067663,             0.00067663,             0.00067663
                    141,                 1.9019,                 1.2177,                 1.2549,                0.72033,                0.73444,                0.77293,                0.44048,                 1.7135,                0.97799,                 1.2785,              0.0006725,              0.0006725,              0.0006725
                    142,                 1.9317,                 1.2158,                 1.2646,                0.72539,                0.73188,                0.78534,                0.44966,                 1.7174,                0.97533,                 1.2838,             0.00066838,             0.00066838,             0.00066838
                    143,                 1.9197,                 1.2289,                 1.2641,                 0.7386,                0.70907,                0.76616,                0.43771,                 1.7044,                0.97949,                 1.2811,             0.00066425,             0.00066425,             0.00066425
                    144,                 1.9214,                 1.2317,                  1.261,                0.73715,                0.72779,                0.79086,                0.44558,                 1.7493,                0.96648,                 1.2869,             0.00066013,             0.00066013,             0.00066013
                    145,                 1.9053,                 1.2231,                 1.2581,                0.72926,                 0.7265,                0.77729,                0.44959,                 1.7086,                0.96158,                 1.2839,               0.000656,               0.000656,               0.000656
                    146,                 1.9275,                 1.2243,                 1.2603,                0.72577,                0.73591,                0.77687,                0.44371,                 1.7279,                0.97337,                 1.2882,             0.00065188,             0.00065188,             0.00065188
